t. soma.v(0.5)
2001 2
 0 -65
 0.025 -64.5696
 0.05 -63.0982
 0.075 -61.8705
 0.1 -60.8384
 0.125 -59.9618
 0.15 -59.2078
 0.175 -58.5498
 0.2 -57.9663
 0.225 -57.4399
 0.25 -56.9569
 0.275 -56.506
 0.3 -56.0781
 0.325 -55.6655
 0.35 -55.2617
 0.375 -54.8607
 0.4 -54.4569
 0.425 -54.0445
 0.45 -53.6176
 0.475 -53.1693
 0.5 -52.6914
 0.525 -52.1739
 0.55 -51.6034
 0.575 -50.9621
 0.6 -50.2243
 0.625 -49.3524
 0.65 -48.2885
 0.675 -46.9356
 0.7 -45.1214
 0.725 -42.5112
 0.75 -38.3783
 0.775 -30.9447
 0.8 -15.8956
 0.825 10.1954
 0.85 32.0486
 0.875 40.1399
 0.9 39.0894
 0.925 33.4594
 0.95 26.1472
 0.975 18.8702
 1 12.4826
 1.025 7.21512
 1.05 2.94745
 1.075 -0.5527
 1.1 -3.50093
 1.125 -6.05852
 1.15 -8.33621
 1.175 -10.4082
 1.2 -12.3247
 1.225 -14.1161
 1.25 -15.8083
 1.275 -17.4212
 1.3 -18.9706
 1.325 -20.4694
 1.35 -21.9284
 1.375 -23.357
 1.4 -24.7637
 1.425 -26.1566
 1.45 -27.5434
 1.475 -28.9318
 1.5 -30.3294
 1.525 -31.7437
 1.55 -33.1826
 1.575 -34.6525
 1.6 -36.158
 1.625 -37.6997
 1.65 -39.2729
 1.675 -40.8652
 1.7 -42.4552
 1.725 -44.0128
 1.75 -45.5013
 1.775 -46.8826
 1.8 -48.1098
 1.825 -49.1581
 1.85 -50.0181
 1.875 -50.827
 1.9 -51.5452
 1.925 -52.1675
 1.95 -52.7021
 1.975 -53.1625
 2 -53.5624
 2.025 -53.9146
 2.05 -54.2298
 2.075 -54.5167
 2.1 -54.7821
 2.125 -55.0311
 2.15 -55.2676
 2.175 -55.4944
 2.2 -55.7135
 2.225 -55.9264
 2.25 -56.134
 2.275 -56.3369
 2.3 -56.5356
 2.325 -56.7304
 2.35 -56.9212
 2.375 -57.1081
 2.4 -57.2911
 2.425 -57.4701
 2.45 -57.645
 2.475 -57.8157
 2.5 -57.9821
 2.525 -58.1439
 2.55 -58.3012
 2.575 -58.4537
 2.6 -58.6014
 2.625 -58.7442
 2.65 -58.8819
 2.675 -59.0146
 2.7 -59.1421
 2.725 -59.2644
 2.75 -59.3814
 2.775 -59.4931
 2.8 -59.5995
 2.825 -59.7005
 2.85 -59.7963
 2.875 -59.8868
