t. Couple.v(0.5)
2001 2
 0 -65
 0.025 -64.9365
 0.05 -64.8618
 0.075 -64.7781
 0.1 -64.6869
 0.125 -64.5897
 0.15 -64.4874
 0.175 -64.3809
 0.2 -64.2709
 0.225 -64.1579
 0.25 -64.0421
 0.275 -63.924
 0.3 -63.8037
 0.325 -63.6813
 0.35 -63.557
 0.375 -63.4308
 0.4 -63.3026
 0.425 -63.1724
 0.45 -63.0402
 0.475 -62.9057
 0.5 -62.7688
 0.525 -62.6291
 0.55 -62.4863
 0.575 -62.3397
 0.6 -62.1887
 0.625 -62.0322
 0.65 -61.8688
 0.675 -61.696
 0.7 -61.5103
 0.725 -61.3053
 0.75 -61.0689
 0.775 -60.7746
 0.8 -60.3611
 0.825 -59.74
 0.85 -58.9483
 0.875 -58.0996
 0.9 -57.2687
 0.925 -56.4922
 0.95 -55.7827
 0.975 -55.1389
 1 -54.5525
 1.025 -54.0134
 1.05 -53.5129
 1.075 -53.0441
 1.1 -52.6021
 1.125 -52.1834
 1.15 -51.7854
 1.175 -51.406
 1.2 -51.0439
 1.225 -50.6978
 1.25 -50.3667
 1.275 -50.0497
 1.3 -49.7463
 1.325 -49.4558
 1.35 -49.1779
 1.375 -48.9122
 1.4 -48.6584
 1.425 -48.4163
 1.45 -48.1858
 1.475 -47.9668
 1.5 -47.7595
 1.525 -47.5638
 1.55 -47.38
 1.575 -47.2082
 1.6 -47.0488
 1.625 -46.902
 1.65 -46.7681
 1.675 -46.6472
 1.7 -46.5394
 1.725 -46.4443
 1.75 -46.3615
 1.775 -46.2901
 1.8 -46.2289
 1.825 -46.1766
 1.85 -46.1319
 1.875 -46.0943
 1.9 -46.0633
 1.925 -46.0382
 1.95 -46.0185
 1.975 -46.0037
 2 -45.9934
 2.025 -45.9874
 2.05 -45.9854
 2.075 -45.9874
 2.1 -45.9932
 2.125 -46.003
 2.15 -46.0165
 2.175 -46.0339
 2.2 -46.0552
 2.225 -46.0803
 2.25 -46.1093
 2.275 -46.1421
 2.3 -46.1788
 2.325 -46.2194
 2.35 -46.2639
 2.375 -46.3122
 2.4 -46.3644
 2.425 -46.4204
 2.45 -46.4801
 2.475 -46.5436
 2.5 -46.6108
 2.525 -46.6817
 2.55 -46.7561
 2.575 -46.8341
 2.6 -46.9155
 2.625 -47.0003
 2.65 -47.0885
 2.675 -47.1799
 2.7 -47.2744
 2.725 -47.3718
 2.75 -47.4722
 2.775 -47.5754
 2.8 -47.6812
 2.825 -47.7896
 2.85 -47.9004
